AU432159,POINT(159.5 -31.5)
AU433115,POINT(115.5 -32.5)
AU433132,POINT(132.5 -32.5)
AU433133,POINT(133.5 -32.5)
AU433134,POINT(134.5 -32.5)
AU433137,POINT(137.5 -32.5)
AU433151,POINT(151.5 -32.5)
AU433152,POINT(152.5 -32.5)
AU434115,POINT(115.5 -33.5)
AU434119,POINT(119.50008845 -33.5000115)
AU434120,POINT(120.5001863 -33.5000115)
AU434121,POINT(121.5 -33.5)
AU434122,POINT(122.5 -33.5)
AU434123,POINT(123.5 -33.5)
AU434134,POINT(134.5 -33.5)
AU434135,POINT(135.49993485 -33.5000115)
AU434136,POINT(136.5 -33.5)
AU434137,POINT(137.5 -33.5)
AU434138,POINT(138.5 -33.5)
AU434151,POINT(151.5 -33.5)
AU435116,POINT(116.50008145 -34.49999475)
AU435117,POINT(117.5001793 -34.49999475)
AU435118,POINT(118.5 -34.5)
AU435119,POINT(119.5 -34.5)
AU435122,POINT(122.5 -34.5)
AU435135,POINT(135.5 -34.5)
AU435136,POINT(136.5 -34.5)
AU435137,POINT(137.5 -34.5)
AU435138,POINT(138.5 -34.5)
AU435150,POINT(150.5 -34.5)
AU435151,POINT(151.5 -34.5)
AU436118,POINT(118.5 -35.5)
AU436136,POINT(136.5 -35.5)
AU436137,POINT(137.5 -35.5)
AU436138,POINT(138.5 -35.5)
AU436139,POINT(139.50003975 -35.50000665)
AU436150,POINT(150.5 -35.5)
AU437136,POINT(136.5 -36.5)
AU437137,POINT(137.5 -36.5)
AU437139,POINT(139.5 -36.5)
AU437149,POINT(149.5 -36.5)
AU437150,POINT(150.5 -36.5)
AU438139,POINT(139.5 -37.5)
AU438140,POINT(140.5 -37.5)
AU438144,POINT(144.5 -37.5)
AU438145,POINT(145.5 -37.5)
AU438147,POINT(147.5 -37.5)
AU438148,POINT(148.5 -37.5)
AU438149,POINT(149.5 -37.5)
AU438150,POINT(150.5 -37.5)
AU439140,POINT(140.4998511 -38.499985)
AU439141,POINT(141.5 -38.5)
